20260202_120230|SISTEMA|INICIO|Inicio del proceso de extracción
20260202_120932|4.2_MGCP_2004_T_25|OK|Encontrado en actividad.xlsx. Registros: 87
20260202_120932|4.2_DGCP_2004_T_30|OK|Encontrado en actividad.xlsx. Registros: 87
20260202_120932|4.2_DGIT_2004_T_25|OK|Encontrado en actividad.xlsx. Registros: 87
20260202_120932|4.2_DGE_2004_T_26|OK|Encontrado en actividad.xlsx. Registros: 87
20260202_120932|4.2_VE_2004_T_21|OK|Encontrado en actividad.xlsx. Registros: 87
20260202_120932|4.2_DE_2004_T_24|OK|Encontrado en actividad.xlsx. Registros: 87
20260202_120932|3.2_OGP_D_2004_T_17|OK|Encontrado en actividad.xlsx. Registros: 86
20260202_120932|3.2_OGI_D_2004_T_25|OK|Encontrado en actividad.xlsx. Registros: 86
20260202_120932|3.2_DGE_D_2004_T_26|OK|Encontrado en actividad.xlsx. Registros: 86
20260202_120932|3.2_DGI_D_2004_T_19|OK|Encontrado en actividad.xlsx. Registros: 86
20260202_120932|3.2_DGCP_D_2004_T_27|OK|Encontrado en actividad.xlsx. Registros: 86
20260202_120932|3.2_DGCP_D_2004_T_30|OK|Encontrado en actividad.xlsx. Registros: 86
20260202_120932|143.3_NO_PR_2004_A_21|OK|Encontrado en actividad.xlsx. Registros: 263
20260202_120933|143.3_NO_PR_2004_A_31|OK|Encontrado en actividad.xlsx. Registros: 263
20260202_120933|4.3_OGP_2004_A_17|OK|Encontrado en actividad.xlsx. Registros: 21
20260202_120933|4.3_OGI_2004_A_25|OK|Encontrado en actividad.xlsx. Registros: 21
20260202_120933|4.3_DGCP_2004_A_27|OK|Encontrado en actividad.xlsx. Registros: 21
20260202_120933|4.3_DGCP_2004_A_30|OK|Encontrado en actividad.xlsx. Registros: 21
20260202_120933|4.3_DGI_2004_A_19|OK|Encontrado en actividad.xlsx. Registros: 21
20260202_120933|4.3_DGE_2004_A_26|OK|Encontrado en actividad.xlsx. Registros: 21
20260202_120933|4.4_OGP_2004_T_17|OK|Encontrado en actividad.xlsx. Registros: 87
20260202_120933|4.4_OGI_2004_T_25|OK|Encontrado en actividad.xlsx. Registros: 87
20260202_120933|4.4_DGCP_2004_T_27|OK|Encontrado en actividad.xlsx. Registros: 87
20260202_120933|4.4_DGCP_2004_T_30|OK|Encontrado en actividad.xlsx. Registros: 87
20260202_120933|4.4_DGI_2004_T_19|OK|Encontrado en actividad.xlsx. Registros: 87
20260202_120933|4.4_DGE_2004_T_26|OK|Encontrado en actividad.xlsx. Registros: 87
20260202_120933|74.1_IET_0_A_16|OK|Encontrado en sector_externo.xlsx. Registros: 116
20260202_120933|74.2_IET_0_T_16|OK|Encontrado en sector_externo.xlsx. Registros: 136
20260202_120933|74.3_IET_0_M_16|OK|Encontrado en sector_externo.xlsx. Registros: 408
20260202_120933|74.1_IIT_0_A_25|OK|Encontrado en sector_externo.xlsx. Registros: 116
20260202_120933|74.2_IIT_0_T_25|OK|Encontrado en sector_externo.xlsx. Registros: 136
20260202_120933|74.3_IIT_0_M_25|OK|Encontrado en sector_externo.xlsx. Registros: 408
20260202_120933|160.1_CTA_CORFOB_0_A_59|OK|Encontrado en sector_externo.xlsx. Registros: 19
20260202_120933|160.1_CTA_CORIOS_0_A_52|OK|Encontrado en sector_externo.xlsx. Registros: 19
20260202_120933|160.1_CTA_CORRFOB_0_A_59|OK|Encontrado en sector_externo.xlsx. Registros: 19
20260202_120933|160.1_CTA_CORIOS_0_A_51|OK|Encontrado en sector_externo.xlsx. Registros: 19
20260202_120933|160.1_TL_CUENNTE_0_A_22|OK|Encontrado en sector_externo.xlsx. Registros: 19
20260202_120933|160.1_TL_CUENERA_0_A_23|OK|Encontrado en sector_externo.xlsx. Registros: 19
20260202_120933|160.1_AVOS_RERVA_0_A_15|OK|Encontrado en sector_externo.xlsx. Registros: 19
20260202_120933|160.2_CTA_CORFOB_0_T_59|OK|Encontrado en sector_externo.xlsx. Registros: 79
20260202_120933|160.2_CTA_CORIOS_0_T_52|OK|Encontrado en sector_externo.xlsx. Registros: 79
20260202_120933|160.2_CTA_CORRFOB_0_T_59|OK|Encontrado en sector_externo.xlsx. Registros: 79
20260202_120934|160.2_CTA_CORIOS_0_T_51|OK|Encontrado en sector_externo.xlsx. Registros: 79
20260202_120934|160.2_TL_CUENNTE_0_T_22|OK|Encontrado en sector_externo.xlsx. Registros: 79
20260202_120934|160.2_TL_CUENERA_0_T_23|OK|Encontrado en sector_externo.xlsx. Registros: 79
20260202_120934|160.2_AVOS_RERVA_0_T_15|OK|Encontrado en sector_externo.xlsx. Registros: 79
20260202_120934|161.1_TL_DEUDRNA_0_0_19|OK|Encontrado en sector_externo.xlsx. Registros: 79
20260202_120934|313.1_TOTALTAL_0_T_5|OK|Encontrado en sector_externo.xlsx. Registros: 64
20260202_120939|89.2_TS_INTELAR_0_D_20|OK|Encontrado en dinero_bancos.xlsx. Registros: 8399
20260202_120939|90.1_BMT_0_0_20|OK|Encontrado en dinero_bancos.xlsx. Registros: 276
20260202_120939|90.1_BMCMT_0_0_42|OK|Encontrado en dinero_bancos.xlsx. Registros: 276
20260202_120939|90.1_BMCCB_0_0_36|OK|Encontrado en dinero_bancos.xlsx. Registros: 276
20260202_120939|90.1_AMTM2_0_0_31|OK|Encontrado en dinero_bancos.xlsx. Registros: 276
20260202_120939|90.1_AMTM3_0_0_31|OK|Encontrado en dinero_bancos.xlsx. Registros: 276
20260202_120939|90.1_DTPPUB_0_0_31|OK|Encontrado en dinero_bancos.xlsx. Registros: 276
20260202_120940|90.1_DTPPRI_0_0_31|OK|Encontrado en dinero_bancos.xlsx. Registros: 276
20260202_120940|90.1_DTPT_0_0_29|OK|Encontrado en dinero_bancos.xlsx. Registros: 276
20260202_120940|90.1_DTDPUB_0_0_33|OK|Encontrado en dinero_bancos.xlsx. Registros: 276
20260202_120940|90.1_DTDPRI_0_0_33|OK|Encontrado en dinero_bancos.xlsx. Registros: 276
20260202_120940|90.1_DTDT_0_0_31|OK|Encontrado en dinero_bancos.xlsx. Registros: 276
20260202_120940|90.1_DET_DESAGRTAL_0_0_38|OK|Encontrado en dinero_bancos.xlsx. Registros: 276
20260202_120940|90.1_DET_DESAGRTAL_0_0_44|OK|Encontrado en dinero_bancos.xlsx. Registros: 276
20260202_120941|91.1_PEFPC_0_0_35|OK|Encontrado en dinero_bancos.xlsx. Registros: 276
20260202_120941|91.1_DETALLE_PRPOT_0_0_25|OK|Encontrado en dinero_bancos.xlsx. Registros: 276
20260202_120948|92.2_RESERVAS_IRES_0_0_32_40|OK|Encontrado en dinero_bancos.xlsx. Registros: 8400
20260202_120954|92.2_PASIVOS_MOIOS_0_0_18_34|OK|Encontrado en dinero_bancos.xlsx. Registros: 8400
20260202_121000|92.2_PASIVOS_MOSOS_0_0_31_15|OK|Encontrado en dinero_bancos.xlsx. Registros: 8400
20260202_121007|92.2_PASIVOS_MORES_0_0_33_100|OK|Encontrado en dinero_bancos.xlsx. Registros: 8400
20260202_121012|92.2_OTROS_DEPORNO_0_0_24_42|OK|Encontrado en dinero_bancos.xlsx. Registros: 8400
20260202_121016|92.2_TIPO_CAMBIION_0_0_21_24|OK|Encontrado en dinero_bancos.xlsx. Registros: 8400
20260202_121020|94.2_CD_D_0_0_10|OK|Encontrado en dinero_bancos.xlsx. Registros: 8401
20260202_121024|94.2_UVAD_D_0_0_10|OK|Encontrado en dinero_bancos.xlsx. Registros: 8401
20260202_121037|175.1_DR_ESTANSE_0_0_20|OK|Encontrado en dinero_bancos.xlsx. Registros: 20419
20260202_121049|175.1_DR_REFE500_0_0_25|OK|Encontrado en dinero_bancos.xlsx. Registros: 20419
20260202_121053|331.2_SALDO_BASERIA__15|OK|Encontrado en dinero_bancos.xlsx. Registros: 8339
20260202_121057|331.2_TOTAL_VARIION__27|OK|Encontrado en dinero_bancos.xlsx. Registros: 8339
20260202_121106|SISTEMA|FIN|Proceso completado. Series: 175 | Exitosas: 175 | Fallidas: 0
