20250817_213848|SISTEMA|INICIO|Inicio del proceso de extracción
20250817_215401|145.3_INGNACUAL_DICI_M_53|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_OGP_D_2004_T_33|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_IT_D_2004_T_18|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|145.3_INGNACUAL_DICI_M_41|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_IT_D_2004_T_19|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|Datos Argentina - Dinero y Bancos|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_IT_D_2004_T_21|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_IT_D_2004_T_17|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_OGP_D_2004_T_19|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_OGP_D_2004_T_26|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_OGP_D_2004_T_32|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_IT_D_2004_T_29|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_IT_D_2004_T_27|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_OGP_D_2004_T_24|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|243.1_VFIS_EXTAL_0_0_18|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|145.3_INGNACUAL_DICI_M_50|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|145.3_INGNACUAL_DICI_M_52|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|Índices de Tipo de Cambio Multilateral|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_IT_D_2004_T_26|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_OGP_D_2004_T_27|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_OGP_D_2004_T_23|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_OGP_D_2004_T_22|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_OGP_D_2004_T_18|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|145.3_INGNACUAL_DICI_M_46|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_OGP_D_2004_T_20|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_IT_D_2004_T_22|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|145.3_INGNACUAL_DICI_M_44|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_OGP_D_2004_T_25|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_OGP_D_2004_T_34|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|145.3_INGNACUAL_DICI_M_49|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_IT_D_2004_T_20|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|145.3_INGNACUAL_DICI_M_45|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|145.3_INGNACUAL_DICI_M_54|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_IT_D_2004_T_30|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|145.3_INGNACUAL_DICI_M_42|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_IT_D_2004_T_24|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|145.3_INGNACUAL_DICI_M_43|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_IT_D_2004_T_23|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_IT_D_2004_T_28|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_OGP_D_2004_T_29|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_OGP_D_2004_T_21|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|145.3_INGNACUAL_DICI_M_39|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|145.3_INGNACUAL_DICI_M_40|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|145.3_INGNACUAL_DICI_M_47|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|145.3_INGNACUAL_DICI_M_51|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|145.3_INGNACUAL_DICI_M_55|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_OGP_D_2004_T_30|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|145.3_INGNACUAL_DICI_M_48|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_OGP_D_2004_T_31|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|3.2_IT_D_2004_T_15|NO_ENCONTRADO|ID no encontrado en ningún archivo
20250817_215401|SISTEMA|FIN|Proceso completado. Series: 128 | Exitosas: 60 | Fallidas: 54
